vid,japanese,reading,meaning,type,category,subcategory,level,samplesentence,sentencehiragana,sentencemeaning
v024,はじめまして,はじめまして,nice to meet you,greeting,self_introduction,おはよう,1,はじめまして。私は田中です。,はじめまして。わたしは たなかです。,Nice to meet you. I'm Tanaka.
v025,どうぞよろしく,どうぞよろしく,please treat me favorably,greeting,self_introduction,おはよう,1,はじめまして。どうぞよろしく。,はじめまして。どうぞ よろしく。,Nice to meet you. I look forward to knowing you.
v026,こちらこそ,こちらこそ,likewise,greeting,self_introduction,おはよう,1,"「どうぞよろしく。」
「こちらこそ。」","「どうぞ よろしく。」
「こちらこそ。」","“Nice to meet you.”
 “Likewise.”"
v027,両親,りょうしん,parents,noun,self_introduction,かぞく,2,私の両親は元気です。,わたしの りょうしんは げんきです。,My parents are well.
v028,母,はは,my mother,noun,self_introduction,かぞく,2,母は料理が好きです。,ははは りょうりが すきです。,My mother likes cooking.
v029,父,ちち,my father,noun,self_introduction,かぞく,2,父は会社員です。,ちちは かいしゃいんです。,My father is a company employee.
v030,姉,あね,my older sister,noun,self_introduction,かぞく,2,姉は大学生です。,あねは だいがくせいです。,My older sister is a university student.
v031,兄,あに,my older brother,noun,self_introduction,かぞく,2,兄は東京にいます。,あには とうきょうに います。,My older brother is in Tokyo.
v032,弟,おとうと,younger brother,noun,self_introduction,かぞく,2,弟は学校にいます。,おとうとは がっこうに います。,My younger brother is at school.
v033,妹,いもうと,younger sister,noun,self_introduction,かぞく,2,妹は猫が好きです。,いもうとは ねこが すきです。,My younger sister likes cats.
v034,兄弟,きょうだい,siblings,noun,self_introduction,かぞく,2,私は兄弟が三人います。,わたしは きょうだいが さんにん います。,I have three siblings.
v035,犬,いぬ,dog,noun,self_introduction,かぞく,2,うちに犬がいます。,うちに いぬが います。,We have a dog at home.
v036,猫,ねこ,cat,noun,self_introduction,かぞく,2,うちに猫が二匹います。,うちに ねこが にひき います。,We have two cats at home.
v037,いる,いる,to exist; to be (living things),verb,self_introduction,かぞく,2,家に誰がいますか。,いえに だれが いますか。,Who is at home?
v038,うち,うち,home; household; one’s family,noun,self_introduction,かぞく,2,うちに家族がいます。,うちに かぞくが います。,My family is at home.
v039,家族,かぞく,family,noun,self_introduction,かぞく,2,私の家族は四人です。,わたしの かぞくは よにんです。,There are four people in my family.
v040,おじいさん,おじいさん,grandfather; elderly man,noun,self_introduction,かぞく,2,おじいさんは元気です。,おじいさんは げんきです。,Grandfather is well.
v041,おばあさん,おばあさん,grandmother; elderly woman,noun,self_introduction,かぞく,2,おばあさんは家にいます。,おばあさんは いえに います。,Grandmother is at home.
v042,ご両親,ごりょうしん,(someone else’s) parents,noun,self_introduction,かぞく,2,ご両親はお元気ですか。,ごりょうしんは おげんきですか。,How are your parents?
v043,お父さん,おとうさん,father; (someone else’s) father,noun,self_introduction,かぞく,2,お父さんは会社員ですか。,おとうさんは かいしゃいんですか。,Is your father a company employee?
v044,お母さん,おかあさん,mother; (someone else’s) mother,noun,self_introduction,かぞく,2,お母さんは料理をしますか。,おかあさんは りょうりを しますか。,Does your mother cook?
v045,お姉さん,おねえさん,older sister; young woman,noun,self_introduction,かぞく,2,お姉さんは学生ですか。,おねえさんは がくせいですか。,Is your older sister a student?
v046,お兄さん,おにいさん,older brother; young man,noun,self_introduction,かぞく,2,お兄さんは東京にいますか。,おにいさんは とうきょうに いますか。,Is your older brother in Tokyo?
v047,弟さん,おとうとさん,someone else’s younger brother,noun,self_introduction,かぞく,2,弟さんは何歳ですか。,おとうとさんは なんさいですか。,How old is your younger brother?
v048,妹さん,いもうとさん,someone else’s younger sister,noun,self_introduction,かぞく,2,妹さんは猫が好きですか。,いもうとさんは ねこが すきですか。,Does your younger sister like cats?
v049,何人,なんにん,how many people,counter,self_introduction,なんにん,3,家族は何人ですか。,かぞくは なんにんですか。,How many people are in your family?
v050,一人,ひとり,one person,counter,self_introduction,なんにん,3,私は一人で住んでいます。,わたしは ひとりで すんでいます。,I live alone.
v051,二人,ふたり,two people,counter,self_introduction,なんにん,3,家族は二人です。,かぞくは ふたりです。,There are two people in my family.
v052,三人,さんにん,three people,counter,self_introduction,なんにん,3,教室に三人います。,きょうしつに さんにん います。,There are three people in the classroom.
v053,四人,よにん,four people,counter,self_introduction,なんにん,3,私の家族は四人です。,わたしの かぞくは よにんです。,There are four people in my family.
v054,五人,ごにん,five people,counter,self_introduction,なんにん,3,パーティーに五人来ます。,ぱーてぃーに ごにん きます。,Five people are coming to the party.
v055,六人,ろくにん,six people,counter,self_introduction,なんにん,3,学生が六人います。,がくせいが ろくにん います。,There are six students.
v056,七人,しちにん,seven people,counter,self_introduction,なんにん,3,教室に七人います。,きょうしつに しちにん います。,There are seven people in the classroom.
v057,八人,はちにん,eight people,counter,self_introduction,なんにん,3,家に八人います。,いえに はちにん います。,There are eight people at home.
v058,九人,きゅうにん,nine people,counter,self_introduction,なんにん,3,クラスに九人います。,くらすに きゅうにん います。,There are nine people in the class.
v059,十人,じゅうにん,ten people,counter,self_introduction,なんにん,3,今日は十人来ます。,きょうは じゅうにん きます。,Ten people are coming today.
v060,大人,おとな,adult,noun,self_introduction,なんにん,3,あの人は大人です。,あの ひとは おとなです。,That person is an adult.
v061,子供,こども,child; children,noun,self_introduction,なんにん,3,公園に子供がいます。,こうえんに こどもが います。,There are children in the park.
v062,男の人,おとこのひと,man,noun,self_introduction,なんにん,3,あそこに男の人がいます。,あそこに おとこの ひとが います。,There is a man over there.
v063,女の人,おんなのひと,woman,noun,self_introduction,なんにん,3,女の人が二人います。,おんなの ひとが ふたり います。,There are two women.
v064,男の子,おとこのこ,boy,noun,self_introduction,なんにん,3,公園に男の子がいます。,こうえんに おとこの こが います。,There is a boy in the park.
v065,女の子,おんなのこ,girl,noun,self_introduction,なんにん,3,女の子が三人います。,おんなの こが さんにん います。,There are three girls.
v066,国,くに,country,noun,self_introduction,～からきました,4,私の国はインドネシアです。,わたしの くには いんどねしあです。,My country is Indonesia.
v067,ある,ある,to exist; to have (non-living things),verb,self_introduction,～からきました,4,世界にはいろいろな国があります。,せかいには いろいろな くにが あります。,There are many different countries in the world.
v068,どちら,どちら,which; where (polite),pronoun,self_introduction,～からきました,4,どちらの国から来ましたか。,どちらの くにから きましたか。,Which country are you from?
v069,～から来ました,～からきました,came from; am from,expression,self_introduction,～からきました,4,私はインドネシアから来ました。,わたしは いんどねしあから きました。,I came from Indonesia.
v070,～人,～じん,person of [nationality]; [nationality] person,suffix,self_introduction,～からきました,4,私はインドネシア人です。,わたしは いんどねしあじんです。,I am Indonesian.
v071,地図,ちず,map,noun,self_introduction,～からきました,4,地図を見て、国を探します。,ちずを みて、くにを さがします。,I look at the map and look for countries.
v072,世界,せかい,world,noun,self_introduction,～からきました,4,世界は広いです。,せかいは ひろいです。,The world is vast.
v073,日本,にほん,Japan,proper_noun,self_introduction,～からきました,4,日本へ行きたいです。,にほんへ いきたいです。,I want to go to Japan.
v074,インド,いんど,India,proper_noun,self_introduction,～からきました,4,インドのカレーを食べます。,いんどの かれーを たべます。,I eat Indian curry.
v075,インドネシア,いんどねしあ,Indonesia,proper_noun,self_introduction,～からきました,4,インドネシアは暑いです。,いんどねしあは あついです。,Indonesia is hot.
v076,韓国,かんこく,South Korea,proper_noun,self_introduction,～からきました,4,韓国の音楽が好きです。,かんこくの おんがくが すきです。,I like Korean music.
v077,タイ,たい,Thailand,proper_noun,self_introduction,～からきました,4,タイの料理を食べたいです。,たいの りょうりを たべたいです。,I want to eat Thai food.
v078,台湾,たいわん,Taiwan,proper_noun,self_introduction,～からきました,4,台湾へ行きたいです。,たいわんへ いきたいです。,I want to go to Taiwan.
v079,中国,ちゅうごく,China,proper_noun,self_introduction,～からきました,4,中国から友達が来ました。,ちゅうごくから ともだちが きました。,A friend came from China.
v080,ネパール,ねぱーる,Nepal,proper_noun,self_introduction,～からきました,4,ネパールの人と話します。,ねぱーるの ひとと はなします。,I talk with a person from Nepal.
v081,フィリピン,ふぃりぴん,Philippines,proper_noun,self_introduction,～からきました,4,フィリピンから来ました。,ふぃりぴんから きました。,I came from the Philippines.
v082,ベトナム,べとなむ,Vietnam,proper_noun,self_introduction,～からきました,4,ベトナムの料理が好きです。,べとなむの りょうりが すきです。,I like Vietnamese food.
v083,マレーシア,まれーしあ,Malaysia,proper_noun,self_introduction,～からきました,4,マレーシアは近いです。,まれーしあは ちかいです。,Malaysia is close.
v084,ミャンマー,みゃんまー,Myanmar,proper_noun,self_introduction,～からきました,4,ミャンマーの人と友達です。,みゃんまーの ひとと ともだちです。,I am friends with a person from Myanmar.
v085,トルコ,とるこ,Turkey,proper_noun,self_introduction,～からきました,4,トルコへ行きたいです。,とるこへ いきたいです。,I want to go to Turkey.
v086,オーストラリア,おーすとらりあ,Australia,proper_noun,self_introduction,～からきました,4,オーストラリアは大きい国です。,おーすとらりあは おおきい くにです。,Australia is a big country.
v087,ニュージーランド,にゅーじーらんど,New Zealand,proper_noun,self_introduction,～からきました,4,ニュージーランドの写真を見ます。,にゅーじーらんどの しゃしんを みます。,I look at photos of New Zealand.
v088,アメリカ,あめりか,America; United States,proper_noun,self_introduction,～からきました,4,アメリカから友達が来ます。,あめりかから ともだちが きます。,A friend is coming from America.
v089,カナダ,かなだ,Canada,proper_noun,self_introduction,～からきました,4,カナダの冬は寒いです。,かなだの ふゆは さむいです。,Canada's winters are cold.
v090,メキシコ,めきしこ,Mexico,proper_noun,self_introduction,～からきました,4,メキシコの料理を食べます。,めきしこの りょうりを たべます。,I eat Mexican food.
v091,ブラジル,ぶらじる,Brazil,proper_noun,self_introduction,～からきました,4,ブラジルは遠い国です。,ぶらじるは とおい くにです。,Brazil is a faraway country.
v092,ロシア,ろしあ,Russia,proper_noun,self_introduction,～からきました,4,ロシアは大きい国です。,ろしあは おおきい くにです。,Russia is a big country.
v093,イギリス,いぎりす,United Kingdom; Britain,proper_noun,self_introduction,～からきました,4,イギリスの音楽を聞きます。,いぎりすの おんがくを ききます。,I listen to British music.
v094,フランス,ふらんす,France,proper_noun,self_introduction,～からきました,4,フランスへ行きたいです。,ふらんすへ いきたいです。,I want to go to France.
v095,ドイツ,どいつ,Germany,proper_noun,self_introduction,～からきました,4,ドイツから来ました。,どいつから きました。,I came from Germany.
v096,スイス,すいす,Switzerland,proper_noun,self_introduction,～からきました,4,スイスの山はきれいです。,すいすの やまは きれいです。,The mountains in Switzerland are beautiful.
v097,イタリア,いたりあ,Italy,proper_noun,self_introduction,～からきました,4,イタリアの料理が好きです。,いたりあの りょうりが すきです。,I like Italian food.
v098,スペイン,すぺいん,Spain,proper_noun,self_introduction,～からきました,4,スペインへ行きたいです。,すぺいんへ いきたいです。,I want to go to Spain.
v099,エジプト,えじぷと,Egypt,proper_noun,self_introduction,～からきました,4,エジプトの写真を見ます。,えじぷとの しゃしんを みます。,I look at photos of Egypt.
v100,ケニア,けにあ,Kenya,proper_noun,self_introduction,～からきました,4,ケニアから来ました。,けにあから きました。,I came from Kenya.
v101,ヨーロッパ,よーろっぱ,Europe,proper_noun,self_introduction,～からきました,4,ヨーロッパへ行きたいです。,よーろっぱへ いきたいです。,I want to go to Europe.
v102,アジア,あじあ,Asia,proper_noun,self_introduction,～からきました,4,アジアにはいろいろな国があります。,あじあには いろいろな くにが あります。,There are many different countries in Asia.
v103,アフリカ,あふりか,Africa,proper_noun,self_introduction,～からきました,4,アフリカの写真を見たいです。,あふりかの しゃしんを みたいです。,I want to see photos of Africa.
v193,先生,せんせい,teacher; instructor,noun,study,学校,5,先生はいつも元気です。,せんせいは いつも げんきです。,The teacher is always cheerful.
v194,学生,がくせい,student,noun,study,学校,5,私は学生です。,わたしは がくせいです。,I am a student.
v195,留学生,りゅうがくせい,international student; foreign student,noun,study,学校,5,彼は日本の留学生です。,かれは にほんの りゅうがくせいです。,He is an international student in Japan.
v196,学校,がっこう,school,noun,study,学校,5,毎日学校へ行きます。,まいにち がっこうへ いきます。,I go to school every day.
v197,勉強する,べんきょうする,to study,verb,study,学校,5,毎晩日本語を勉強します。,まいばん にほんごを べんきょうします。,I study Japanese every night.
v198,日本語学校,にほんごがっこう,Japanese language school,noun,study,学校,5,日本語学校で友達ができました。,にほんご がっこうで ともだちが できました。,I made friends at Japanese language school.
v199,小学校,しょうがっこう,elementary school,noun,study,学校,5,妹は小学校へ行きます。,いもうとは しょうがっこうへ いきます。,My younger sister goes to elementary school.
v200,中学校,ちゅうがっこう,junior high school,noun,study,学校,5,兄は中学校の先生です。,あには ちゅうがっこうの せんせいです。,My older brother is a junior high school teacher.
v201,高校,こうこう,high school,noun,study,学校,5,高校で日本語を勉強します。,こうこうで にほんごを べんきょうします。,I study Japanese at high school.
v202,大学,だいがく,university; college,noun,study,学校,5,大学で友達と話します。,だいがくで ともだちと はなします。,I talk with my friends at university.
v203,教室,きょうしつ,classroom,noun,study,学校,5,教室に学生がいます。,きょうしつに がくせいが います。,There are students in the classroom.
v204,クラス,クラス,class,noun,study,学校,5,私のクラスは楽しいです。,わたしの くらすは たのしいです。,My class is fun.
v205,行く,いく,to go,verb,study,学校,5,明日、学校へ行きます。,あした、がっこうへ いきます。,"Tomorrow, I will go to school."
v206,来る,くる,to come,verb,study,学校,5,先生が教室に来ます。,せんせいが きょうしつに きます。,The teacher comes to the classroom.
v207,帰る,かえる,to return; go home,verb,study,学校,5,勉強が終わったら家へ帰ります。,べんきょうが おわったら いえへ かえります。,"When studying is finished, I go home."
v208,ゼロ,ゼロ,zero,number,study,かず ,6,ゼロから日本語を勉強します。,ぜろから にほんごを べんきょうします。,I study Japanese from zero.
v209,一,いち,one,number,study,かず ,6,一から始めます。,いちから はじめます。,I start from one.
v210,二,に,two,number,study,かず ,6,二人で学校へ行きます。,ふたりで がっこうへ いきます。,Two of us go to school together.
v211,三,さん,three,number,study,かず ,6,三時に会います。,さんじに あいます。,I'll meet you at three.
v212,四,よん,four,number,study,かず ,6,四月に日本へ行きます。,しがつに にほんへ いきます。,I will go to Japan in April.
v213,五,ご,five,number,study,かず ,6,五時に帰ります。,ごじに かえります。,I go home at five.
v214,六,ろく,six,number,study,かず ,6,六時に起きます。,ろくじに おきます。,I wake up at six.
v215,七,なな,seven,number,study,かず ,6,七時から勉強します。,しちじから べんきょうします。,I study from seven.
v216,八,はち,eight,number,study,かず ,6,八時に学校へ行きます。,はちじに がっこうへ いきます。,I go to school at eight.
v217,九,きゅう,nine,number,study,かず ,6,九時まで勉強します。,くじまで べんきょうします。,I study until nine.
v218,十,じゅう,ten,number,study,かず ,6,十分休みます。,じゅっぷん やすみます。,I rest for ten minutes.
v219,十一,じゅういち,eleven,number,study,かず ,6,十一時に寝ます。,じゅういちじに ねます。,I go to bed at eleven.
v220,十二,じゅうに,twelve,number,study,かず ,6,十二時に昼ご飯を食べます。,じゅうにじに ひるごはんを たべます。,I eat lunch at twelve.
v221,～月,～がつ,month; [month],suffix,study,かず ,6,三か月日本語を勉強しました。,さんかげつ にほんごを べんきょうしました。,I studied Japanese for three months.
v222,一月,いちがつ,January,noun,study,かず ,6,一月は新しい年の始まりです。,いちがつは あたらしい としの はじまりです。,January is the beginning of a new year.
v223,二月,にがつ,February,noun,study,かず ,6,二月はまだ寒いです。,にがつは まだ さむいです。,February is still cold.
v224,三月,さんがつ,March,noun,study,かず ,6,三月は春が来ます。,さんがつは はるが きます。,Spring comes in March.
v225,四月,しがつ,April,noun,study,かず ,6,四月に新しい学校が始まります。,しがつに あたらしい がっこうが はじまります。,A new school year starts in April.
v226,五月,ごがつ,May,noun,study,かず ,6,五月はいい天気の日が多いです。,ごがつは いい てんきの ひが おおいです。,There are many nice-weather days in May.
v227,六月,ろくがつ,June,noun,study,かず ,6,六月は雨の日が多いです。,ろくがつは あめの ひが おおいです。,There are many rainy days in June.
v228,七月,しちがつ,July,noun,study,かず ,6,七月は夏です。,しちがつは なつです。,July is summer.
v229,八月,はちがつ,August,noun,study,かず ,6,八月に海へ行きたいです。,はちがつに うみへ いきたいです。,I want to go to the sea in August.
v230,九月,くがつ,September,noun,study,かず ,6,九月になってもまだ暑いです。,くがつに なっても まだ あついです。,"Even in September, it is still hot."
v231,十月,じゅうがつ,October,noun,study,かず ,6,十月は秋の月です。,じゅうがつは あきの つきです。,October is an autumn month.
v232,十一月,じゅういちがつ,November,noun,study,かず ,6,十一月は少し寒いです。,じゅういちがつは すこし さむいです。,November is a little cold.
v233,十二月,じゅうにがつ,December,noun,study,かず ,6,十二月は楽しい月です。,じゅうにがつは たのしい つきです。,December is a fun month.
v234,何月,なんがつ,what month,noun,study,かず ,6,今は何月ですか。,いまは なんがつですか。,What month is it now?
v235,曜日,ようび,day of the week,noun,study,ようび,7,今日は何曜日ですか。,きょうは なんようびですか。,What day of the week is it today?
v236,日曜日,にちようび,Sunday,noun,study,ようび,7,日曜日に友達と遊びます。,にちようびに ともだちと あそびます。,I hang out with my friends on Sunday.
v237,月曜日,げつようび,Monday,noun,study,ようび,7,月曜日から学校へ行きます。,げつようびから がっこうへ いきます。,I go to school from Monday.
v238,火曜日,かようび,Tuesday,noun,study,ようび,7,火曜日に日本語を勉強します。,かようびに にほんごを べんきょうします。,I study Japanese on Tuesday.
v239,水曜日,すいようび,Wednesday,noun,study,ようび,7,水曜日にアルバイトをします。,すいようびに あるばいとを します。,I work part-time on Wednesday.
v240,木曜日,もくようび,Thursday,noun,study,ようび,7,木曜日は学校へ行きます。,もくようびは がっこうへ いきます。,I go to school on Thursday.
v241,金曜日,きんようび,Friday,noun,study,ようび,7,金曜日の夜は楽しいです。,きんようびの よるは たのしいです。,Friday nights are fun.
v242,土曜日,どようび,Saturday,noun,study,ようび,7,土曜日に友達と映画を見ます。,どようびに ともだちと えいがを みます。,I watch a movie with my friends on Saturday.
v243,何曜日,なんようび,what day of the week,noun,study,ようび,7,明日は何曜日ですか。,あしたは なんようびですか。,What day of the week is tomorrow?
v244,今日,きょう,today,noun,study,ようび,7,今日はいい日です。,きょうは いい ひです。,Today is a good day.
v245,昨日,きのう,yesterday,noun,study,ようび,7,昨日は友達と話しました。,きのうは ともだちと はなしました。,I talked with my friend yesterday.
v246,明日,あした,tomorrow,noun,study,ようび,7,明日は新しい一日です。,あしたは あたらしい いちにちです。,Tomorrow is a new day.
v247,毎日,まいにち,every day,adverb,study,ようび,7,毎日少しずつ勉強します。,まいにち すこしずつ べんきょうします。,I study a little every day.
v248,～週間,～しゅうかん,[number] weeks,suffix,study,ようび,7,二週間日本にいます。,にしゅうかん にほんに います。,I will be in Japan for two weeks.
v249,～か月,～かげつ,[number] months,suffix,study,ようび,7,三か月日本語を勉強します。,さんかげつ にほんごを べんきょうします。,I will study Japanese for three months.
v250,～年,～ねん,[number] years,suffix,study,ようび,7,一年日本語を勉強しました。,いちねん にほんごを べんきょうしました。,I studied Japanese for one year.
v251,～回,～かい,[number] times,suffix,study,ようび,7,一週間に三回運動します。,いっしゅうかんに さんかい うんどうします。,I exercise three times a week.
v252,何回,なんかい,how many times,noun,study,ようび,7,一日に何回ご飯を食べますか。,いちにちに なんかい ごはんを たべますか。,How many times a day do you eat?
v253,アルバイトする,アルバイトする,to work a part-time job,verb,study,ようび,7,大学生になったらアルバイトをします。,だいがくせいに なったら あるばいとを します。,"When I become a university student, I'll work part-time."
v254,する,する,to do,verb,study,ようび,7,今日、一緒に勉強します。,きょう、いっしょに べんきょうします。,"Today, let's study together."
v255,言葉,ことば,word; language,noun,study,ことば,8,君の言葉を大切にします。,きみの ことばを たいせつに します。,I will treasure your words.
v256,字,じ,character; letter,noun,study,ことば,8,この字はきれいです。,この じは きれいです。,This handwriting is beautiful.
v257,日本語,にほんご,Japanese language,noun,study,ことば,8,日本語で話してみます。,にほんごで はなして みます。,I'll try speaking in Japanese.
v258,～語,～ご,[language],suffix,study,ことば,8,英語を少し話します。,えいごを すこし はなします。,I speak a little English.
v259,話す,はなす,to speak; to talk,verb,study,ことば,8,今日は友達とたくさん話しました。,きょうは ともだちと たくさん はなしました。,I talked a lot with my friend today.
v260,ゆっくり,ゆっくり,slowly; leisurely,adverb,study,ことば,8,ゆっくり話してください。,ゆっくり はなして ください。,Please speak slowly.
v261,言う,いう,to say; to tell,verb,study,ことば,8,ありがとうと言います。,ありがとうと いいます。,I say “thank you.”
v262,もう一度,もういちど,one more time; again,adverb,study,ことば,8,もう一度言ってください。,もう いちど いって ください。,Please say it one more time.
v263,お願いします,おねがいします,please; I request,expression,study,ことば,8,もう一度お願いします。,もう いちど おねがいします。,"One more time, please."
v264,分かる,わかる,to understand,verb,study,ことば,8,今なら少し分かります。,いまなら すこし わかります。,"Now, I understand a little."
v265,少し,すこし,a little; a few,adverb,study,ことば,8,少しずつ分かってきました。,すこしずつ わかって きました。,"Little by little, I have come to understand."
v266,もう少し,もうすこし,a little more,adverb,study,ことば,8,もう少し頑張ります。,もう すこし がんばります。,I'll try a little harder.
v267,よく,よく,well; often,adverb,study,ことば,8,この歌をよく聞きます。,この うたを よく ききます。,I often listen to this song.
v268,だいたい,だいたい,roughly; generally,adverb,study,ことば,8,日本語の意味がだいたい分かります。,にほんごの いみが だいたい わかります。,I roughly understand the meaning of the Japanese.
v269,全然,ぜんぜん,not at all; entirely,adverb,study,ことば,8,日本語が全然分かりません。,にほんごが ぜんぜん わかりません。,I don't understand Japanese at all.
v270,ひらがな,ひらがな,hiragana,noun,study,ことば,8,ひらがなを毎日書きます。,ひらがなを まいにち かきます。,I write hiragana every day.
v271,カタカナ,カタカナ,katakana,noun,study,ことば,8,カタカナはまだ少し難しいです。,かたかなは まだ すこし むずかしいです。,Katakana is still a little difficult.
v272,漢字,かんじ,kanji; Chinese character,noun,study,ことば,8,この漢字を覚えました。,この かんじを おぼえました。,I learned this kanji.
v273,ローマ字,ローマじ,Roman letters; romaji,noun,study,ことば,8,最初はローマ字で勉強しました。,さいしょは ろーまじで べんきょうしました。,"At first, I studied using romaji."
v274,勉強,べんきょう,study; studying,noun,study,べんきょう,9,日本語の勉強は楽しいです。,にほんごの べんきょうは たのしいです。,Studying Japanese is fun.
v275,読む,よむ,to read,verb,study,べんきょう,9,毎晩、本を読みます。,まいばん、ほんを よみます。,I read a book every night.
v276,本,ほん,book,noun,study,べんきょう,9,この本をもう一度読みたいです。,この ほんを もう いちど よみたいです。,I want to read this book one more time.
v277,書く,かく,to write,verb,study,べんきょう,9,今日の日記を書きます。,きょうの にっきを かきます。,I write today's diary entry.
v278,聞く,きく,to listen; to hear; to ask,verb,study,べんきょう,9,好きな歌を聞きます。,すきな うたを ききます。,I listen to a song I like.
v279,CD,シーディー,CD,noun,study,べんきょう,9,昔のCDを聞きました。,むかしの しーでぃーを ききました。,I listened to an old CD.
v280,調べる,しらべる,to look up; to investigate,verb,study,べんきょう,9,分からない言葉を調べます。,わからない ことばを しらべます。,I look up words I don't understand.
v281,買う,かう,to buy,verb,study,べんきょう,9,本屋で新しい本を買いました。,ほんやで あたらしい ほんを かいました。,I bought a new book at the bookstore.
v282,辞書,じしょ,dictionary,noun,study,べんきょう,9,分からない言葉は辞書で調べます。,わからない ことばは じしょで しらべます。,I look up words I don't understand in a dictionary.
v283,電子辞書,でんしじしょ,electronic dictionary,noun,study,べんきょう,9,電子辞書で漢字を調べます。,でんし じしょで かんじを しらべます。,I look up kanji with an electronic dictionary.
v284,意味,いみ,meaning,noun,study,べんきょう,9,この言葉の意味が分かりますか。,この ことばの いみが わかりますか。,Do you understand the meaning of this word?
v285,頑張る,がんばる,to do one's best; to persevere,verb,study,べんきょう,9,明日も頑張ります。,あしたも がんばります。,I'll do my best tomorrow too.
v286,宿題,しゅくだい,homework,noun,study,べんきょう,9,宿題をしてから寝ます。,しゅくだいを してから ねます。,I go to bed after doing my homework.
v287,日記,にっき,diary,noun,study,べんきょう,9,毎晩、日記を書きます。,まいばん、にっきを かきます。,I write in my diary every night.
v288,レポート,レポート,report; paper,noun,study,べんきょう,9,今日、レポートを書きます。,きょう、れぽーとを かきます。,I will write a report today.
v289,図書館,としょかん,library,noun,study,べんきょう,9,図書館で本を読みます。,としょかんで ほんを よみます。,I read books at the library.
v290,本屋,ほんや,bookstore,noun,study,べんきょう,9,本屋で好きな本を探します。,ほんやで すきな ほんを さがします。,I look for books I like at the bookstore.
